"AptName","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","PlateScale_Reference","CalReference","Cal_PLT19524","Cal_PLT19523","Cal_PLT19522","CalQcRatio_PLT19524_200170","Cal_PLT19521","CalQcRatio_PLT19523_200170","Cal_PLT19525","CalQcRatio_PLT19522_200170","ColCheck","CalQcRatio_PLT19521_200170","CalQcRatio_PLT19525_200170","QcReference_200170","Dilution2"
"seq.10015.119","10015-119",3,"SL014924","Voltage-gated potassium channel subunit beta-2","KCAB2","Q13303","8514","KCNAB2","Human","RFU","Protein","20",673.8,673.8,1.04871595,1.04158293,0.99881411,1.015,0.99278032,0.981,0.95941905,1.037,"PASS",1.051,1.016,571.1,0.2
"seq.10021.1","10021-1",3,"SL025418","Fc_MOUSE","Fc_MOUSE","Q99LC4","","","Mouse","RFU","Protein","20",1640.3,1640.3,1.1512493,1.20681283,1.16747331,1.025,1.11403151,0.997,1.20850217,0.994,"PASS",1.026,0.988,915.2,0.2
"seq.10022.207","10022-207",3,"SL019229","DNA polymerase eta","POLH","Q9Y253","5429","POLH","Human","RFU","Protein","20",345.4,345.4,0.98488737,0.93300918,0.96642417,0.97,0.94345807,1.064,0.91086498,1.04,"PASS",1.033,1.074,217.9,0.2
"seq.10023.32","10023-32",3,"SL004071","Vitamin D3 receptor","VDR","P11473","7421","VDR","Human","RFU","Protein","20",823.7,823.7,1.28023003,1.21310751,1.16704449,1.013,1.15299552,0.947,1.36804518,0.935,"PASS",0.981,0.869,480.2,0.2
"seq.10024.44","10024-44",3,"SL019235","4-hydroxy-2-oxoglutarate aldolase, mitochondrial","HOGA1","Q86XE5","112817","HOGA1","Human","RFU","Protein","20",1066.8,1066.8,1.06979543,1.10002062,1.0316217,1.038,1.03895598,0.999,1.10115607,0.977,"PASS",0.966,0.989,634.1,0.2
"seq.10025.1","10025-1",3,"SL008018","Dihydrolipoyl dehydrogenase, mitochondrial","DLDH","P09622","1738","DLD","Human","RFU","Protein","0.5",1374.2,1374.2,0.8449336,0.92339739,1.00277291,1.05,1.02026877,1.019,0.84644287,1.033,"PASS",1.003,1.023,1206.5,0.005
"seq.10030.8","10030-8",3,"SL006373","Adenine DNA glycosylase","MutY homolog","Q9UIF7","4595","MUTYH","Human","RFU","Protein","20",219.5,219.5,0.92226891,0.91192356,0.89811784,0.972,0.90777502,0.985,0.84781769,1.035,"PASS",0.961,0.989,148.3,0.2
"seq.10034.16","10034-16",3,"SL025418","Fc_MOUSE","Fc_MOUSE","Q99LC4","","","Mouse","RFU","Protein","20",4743.1,4743.1,1.63200633,1.63572094,1.39138725,1.057,1.53886834,1.099,1.68763565,0.958,"PASS",0.991,0.958,2926.1,0.2
"seq.10035.6","10035-6",3,"SL007389","Dual specificity protein phosphatase 4","DUS4","Q13115","1846","DUSP4","Human","RFU","Protein","20",752.2,752.2,1.09410909,1.07734174,1.00763563,0.956,1.05320638,0.939,1.07105226,0.937,"PASS",0.938,0.914,460.5,0.2
"seq.10036.201","10036-201",3,"SL019252","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2","23051","ZHX3","Human","RFU","Protein","0.5",2573.8,2573.8,0.91747763,0.86932144,0.91859096,0.913,0.89486128,0.962,0.92947167,0.926,"PASS",0.913,0.89,1700.9,0.005
"seq.10037.98","10037-98",3,"SL025986","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long","SIG12:Ig-like V-type 2","Q96PQ1","89858","SIGLEC12","Human","RFU","Protein","20",422.8,422.8,1.07500636,1.09789665,1.08132992,0.985,1.08188332,1.027,1.17575083,0.96,"PASS",0.987,0.935,241.1,0.2
"seq.10039.32","10039-32",3,"SL005262","Purine nucleoside phosphorylase","PNP","P00491","4860","PNP","Human","RFU","Protein","0.5",2974.2,2974.2,0.90856881,1.00050459,1.0498041,1.023,1.06974068,1.014,0.91177192,1.024,"PASS",1.026,1.059,2691.7,0.005
"seq.10040.63","10040-63",3,"SL007662","Tumor protein 63","P73L","Q9H3D4","8626","TP63","Human","RFU","Protein","20",706.6,706.6,0.93713528,0.92668852,0.85783659,0.965,0.91339193,1.012,0.79411104,1.047,"PASS",0.992,1.039,672.3,0.2
"seq.10041.3","10041-3",3,"SL007226","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","3172","HNF4A","Human","RFU","Protein","0.5",26570.2,26570.2,1.10415645,0.96564131,1.09710798,0.999,1.23025563,1.072,0.95592764,1.042,"PASS",1.111,1.126,22492.3,0.005
"seq.10042.8","10042-8",3,"SL015131","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1","100533105","SGK3","Human","RFU","Protein","20",1003.2,1003.2,0.86438049,0.81594144,0.72209026,0.977,0.79707612,1.015,0.6284533,1.089,"PASS",0.953,0.975,785.5,0.2
"seq.10043.31","10043-31",3,"SL019249","Bromodomain-containing protein 4","BRD4","O60885","23476","BRD4","Human","RFU","Protein","20",700.2,700.2,0.96260654,0.94608837,0.85966851,1.011,0.92472266,0.962,0.81646455,1.061,"PASS",1.007,1.061,680,0.2
"seq.10044.12","10044-12",3,"SL012823","Protein Wnt-10a","WN10A","Q9GZT5","80326","WNT10A","Human","RFU","Protein","20",1465,1465,1.63249387,1.42523592,1.38534279,0.95,1.26587747,0.717,1.72657631,0.89,"FLAG",0.81,0.728,642.5,0.2
"seq.10045.47","10045-47",3,"SL010989","Cullin-3","CUL3","Q13618","8452","CUL3","Human","RFU","Protein","20",915.1,915.1,1.11231312,1.20566535,1.19417983,1.016,1.10425968,1.018,1.17712889,1.026,"PASS",1.067,1.006,733.6,0.2
"seq.10046.55","10046-55",3,"SL003727","Baculoviral IAP repeat-containing protein 2","cIAP-1","Q13490","329","BIRC2","Human","RFU","Protein","20",1790.1,1790.1,1.06067429,1.03128241,1.03731819,1.074,1.05754121,1.048,0.96086957,1.064,"PASS",1.088,1.038,1300.3,0.2
"seq.10047.12","10047-12",3,"SL004553","Neutrophil cytosol factor 2","NCF-2","P19878","4688","NCF2","Human","RFU","Protein","0.5",542.6,542.6,0.93600138,1.00705271,1.02030839,0.814,0.82100166,0.717,0.86857692,0.641,"FLAG",0.862,0.703,476.5,0.005
"seq.10048.7","10048-7",3,"SL011998","Core-binding factor subunit beta","PEBB","Q13951","865","CBFB","Human","RFU","Protein","20",1797.9,1797.9,1.16769501,1.12657435,1.10708128,1.01,1.18955935,1.031,1.1458891,1.034,"PASS",0.997,0.998,1131.8,0.2
"seq.10049.112","10049-112",3,"SL019242","Telomeric repeat-binding factor 1","TERF1","P54274","7013","TERF1","Human","RFU","Protein","20",649,649,0.97903153,1.02430556,0.97170235,1.004,0.97549977,0.966,0.96176645,1.001,"PASS",1.017,0.997,482.5,0.2
"seq.10053.5","10053-5",3,"SL004474","Integrin-linked protein kinase","ILK1","Q13418","3611","ILK","Human","RFU","Protein","20",13779.1,13779.1,0.90609054,0.9791717,0.98799699,1.034,0.95568071,1.166,0.94610034,1.06,"PASS",1.181,1.126,15679.9,0.2
"seq.10054.3","10054-3",3,"SL019232","Gigaxonin","GAN","Q9H2C0","8139","GAN","Human","RFU","Protein","20",688.5,688.5,1.06447124,1.02257538,1.02272727,0.935,1.03347343,0.96,1.13520198,1.004,"PASS",1.067,0.991,627.5,0.2
"seq.10056.5","10056-5",3,"SL007372","Forkhead box protein M1","FOXM1","Q08050","2305","FOXM1","Human","RFU","Protein","20",834,834,0.95818015,0.96864111,0.95807007,0.995,0.97067039,1.03,0.94654409,1.05,"PASS",1.046,1.048,791.1,0.2
"seq.10058.1","10058-1",3,"SL013796","UV excision repair protein RAD23 homolog A","RD23A","P54725","5886","RAD23A","Human","RFU","Protein","20",13242.8,13242.8,0.97443029,0.9027684,0.99626854,1.062,1.01651878,1.067,1.07498985,0.988,"PASS",1.105,1.036,10188,0.2
"seq.10063.10","10063-10",3,"SL019237","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38","55120","FANCL","Human","RFU","Protein","20",536.4,536.4,1.00656784,1.04276827,0.96840585,0.964,0.95410886,0.92,0.90196738,0.96,"PASS",0.959,0.94,362.4,0.2
"seq.10064.12","10064-12",3,"SL011550","Putative hydrolase RBBP9","RBBP9","O75884","10741","RBBP9","Human","RFU","Protein","0.5",1427.2,1427.2,1.0127732,1.1078165,1.09540256,1.016,1.04918033,0.963,0.97147914,0.995,"PASS",1.001,0.977,1121.2,0.005
"seq.10069.2","10069-2",3,"SL013908","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526","5300","PIN1","Human","RFU","Protein","20",678.5,678.5,1.06632092,1.06565101,1.01283774,1.02,0.99808767,0.972,0.95509572,1.052,"PASS",1.056,1.16,686.8,0.2
"seq.10070.22","10070-22",3,"SL016406","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885","5336","PLCG2","Human","RFU","Protein","20",1132.8,1132.8,0.97891462,0.98299202,1.02367613,0.997,1.00818797,1.019,0.98393121,0.962,"PASS",0.989,0.966,589.2,0.2
"seq.10073.22","10073-22",3,"SL011411","Tyrosyl-DNA phosphodiesterase 1","TYDP1","Q9NUW8","55775","TDP1","Human","RFU","Protein","20",1031.2,1031.2,0.8972418,0.92186662,0.85378374,1.004,0.8675753,0.972,0.80808714,1.033,"PASS",1.052,1.015,884.9,0.2
"seq.10074.128","10074-128",3,"SL014748","Bromodomain-containing protein 2","BRD2","P25440","6046","BRD2","Human","RFU","Protein","20",1158.3,1158.3,1.01980983,1.04070081,0.96734592,0.969,0.98161017,0.948,0.95989061,0.964,"PASS",0.95,0.931,752,0.2
"seq.10075.75","10075-75",3,"SL019254","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61","84320","ACBD6","Human","RFU","Protein","20",327.1,327.1,1.04772582,1.05346216,1.10581474,0.96,1.03023622,1,1.04238368,0.967,"PASS",1.065,1.04,291.1,0.2
"seq.10076.1","10076-1",3,"SL019225","AP-4 complex subunit mu-1","AP4M1","O00189","9179","AP4M1","Human","RFU","Protein","20",1191.1,1191.1,0.97815554,1.02574922,0.98016787,1.002,0.97599148,1.003,0.9462938,0.997,"PASS",0.993,1.007,888.5,0.2
"seq.10078.5","10078-5",3,"SL007063","BAG family molecular chaperone regulator 3","BAG3","O95817","9531","BAG3","Human","RFU","Protein","20",840.8,840.8,0.98766592,1.00107156,0.88710698,1.001,0.95123883,0.954,0.8651986,1.019,"PASS",0.967,0.956,611.4,0.2
"seq.10080.9","10080-9",3,"SL019240","Translation initiation factor eIF-2B subunit alpha","EI2BA","Q14232","1967","EIF2B1","Human","RFU","Protein","20",1634.4,1634.4,0.84247423,0.96220417,0.91434965,1.074,0.91465667,1.314,0.89985135,1.38,"FLAG",1.157,1.277,1188.1,0.2
"seq.10081.17","10081-17",3,"SL019243","DNA-binding protein SATB2","SATB2","Q9UPW6","23314","SATB2","Human","RFU","Protein","20",746.2,746.2,1.22669735,1.24991625,1.15367965,1.02,1.1914418,0.878,1.28655172,0.917,"PASS",0.874,0.832,494.5,0.2
"seq.10082.251","10082-251",3,"SL019251","Neurofilament light polypeptide","NFL","P07196","4747","NEFL","Human","RFU","Protein","0.5",675.1,675.1,0.98153533,0.95758865,1.02911585,1.048,0.83790493,0.996,0.90678308,1.031,"PASS",0.946,0.959,433.4,0.005
"seq.10085.25","10085-25",3,"SL001714","Steroidogenic acute regulatory protein, mitochondrial","STAR","P49675","6770","STAR","Human","RFU","Protein","0.5",1497.3,1497.3,1.02218733,1.08382193,1.14709262,0.977,1.16593988,0.983,1.01753313,0.95,"PASS",0.949,0.972,1116.8,0.005
"seq.10086.39","10086-39",3,"SL018882","Cystathionine beta-synthase","CBS","P35520","102724560","CBS","Human","RFU","Protein","20",2354.2,2354.2,1.01997314,1.0640452,1.08458491,1.004,1.09076588,1.037,1.07048017,1.021,"PASS",1.056,1.037,1553.8,0.2
"seq.10087.10","10087-10",3,"SL003675","Alpha-crystallin A chain","Alpha crystallin A chain","P02489","102724652","CRYAA","Human","RFU","Protein","20",446.1,446.1,0.91714638,0.94995741,0.90670732,1.053,0.90048446,1.021,0.87094885,1.055,"PASS",1.072,1.1,400,0.2
"seq.10088.37","10088-37",3,"SL008014","Adenine phosphoribosyltransferase","APT","P07741","353","APRT","Human","RFU","Protein","20",2331.6,2331.6,1.06621547,1.04434292,1.15106635,1.06,1.20272361,1.103,1.28455732,1.065,"PASS",1.154,1.099,2196.3,0.2
"seq.10089.7","10089-7",3,"SL019244","N-acetylserotonin O-methyltransferase-like protein","ASML","O95671","8623","ASMTL","Human","RFU","Protein","20",741.2,741.2,0.98629408,0.99223561,0.96122423,0.968,1.00202785,1.011,0.92765957,0.977,"PASS",0.934,0.999,469.2,0.2
"seq.10336.3","10336-3",3,"SL019100","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","10273","STUB1","Human","RFU","Protein","20",1159.5,1159.5,1.04856213,1.14892985,1.08648801,1.027,1.0081732,1.115,1.10061699,1.084,"PASS",1.095,1.16,1113,0.2
"seq.10339.48","10339-48",3,"SL001731","Gamma-enolase","NSE","P09104","2026","ENO2","Human","RFU","Protein","20",13139.1,13139.1,0.85514849,0.90196469,1.00159321,0.957,0.903093,0.991,0.99383538,0.953,"PASS",1.029,1.008,9379.2,0.2
"seq.10342.55","10342-55",3,"SL019096","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9","51588","PIAS4","Human","RFU","Protein","20",520.7,520.7,1.28314441,1.14792769,1.19481413,0.912,1.13963668,0.841,1.15531396,0.872,"PASS",0.888,0.882,341.9,0.2
"seq.10344.334","10344-334",3,"SL005173","Interleukin-10 receptor subunit alpha","IL-10 Ra","Q13651","3587","IL10RA","Human","RFU","Protein","20",4509.4,4509.4,1.25323773,1.15215003,1.01416877,0.981,1.17957571,1.069,1.22179473,0.956,"PASS",0.918,0.991,2704.4,0.2
"seq.10346.5","10346-5",3,"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein","20",8968.5,8968.5,0.99509581,0.97347198,1.07029059,0.97,1.06038213,1.041,0.98210668,1.018,"PASS",1.04,1.075,10337.8,0.2
"seq.10351.51","10351-51",3,"SL007108","Interferon regulatory factor 1","IRF1","P10914","3659","IRF1","Human","RFU","Protein","20",1886.7,1886.7,1.07965665,1.0711366,1.07799109,1.065,1.02044459,0.95,1.11493913,1.012,"PASS",1.034,0.97,933.2,0.2
"seq.10354.57","10354-57",3,"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein","20",3027.2,3027.2,1.07473284,1.0592393,1.10284528,0.992,1.11008434,1.046,1.19411463,1.039,"PASS",1.056,1.059,2820.9,0.2
"seq.10356.21","10356-21",3,"SL000455","Transcription factor AP-1","c-Jun","P05412","3725","JUN","Human","RFU","Protein","20",2190.6,2190.6,1.19515522,1.19281241,1.08241921,1.047,1.12940813,1.019,1.24317576,0.91,"PASS",0.922,0.914,1051.2,0.2
"seq.10361.25","10361-25",3,"SL014684","2'-5'-oligoadenylate synthase 1","OAS1","P00973","4938","OAS1","Human","RFU","Protein","20",653.2,653.2,0.98225564,1.01697026,0.99679536,1.014,0.95917768,0.957,0.93702482,1.004,"PASS",1.022,1.028,536.1,0.2
"seq.10362.35","10362-35",3,"SL002565","Myc proto-oncogene protein","c-Myc","P01106","4609","MYC","Human","RFU","Protein","20",485.5,485.5,1.0041365,1.01505331,1.00434423,1.001,0.98140287,0.97,1.04095197,0.998,"PASS",0.986,0.962,300.1,0.2
"seq.10363.13","10363-13",3,"SL004097","Mothers against decapentaplegic homolog 3","SMAD3","P84022","4088","SMAD3","Human","RFU","Protein","20",5652.9,5652.9,1.09427205,1.10786869,1.15081126,0.944,1.06058161,0.979,1.19805443,0.977,"PASS",1.034,0.974,4646.5,0.2
"seq.10364.6","10364-6",3,"SL004101","Mothers against decapentaplegic homolog 2","SMAD2","Q15796","4087","SMAD2","Human","RFU","Protein","20",2727.6,2727.6,0.92599131,0.91499497,0.94737939,1.015,0.9508471,1.078,0.96850478,1.061,"PASS",1.113,1.074,2824.3,0.2
"seq.10365.132","10365-132",3,"SL005184","Interleukin-23","IL-23","P29460|Q9NPF7","3593|51561","IL12B|IL23A","Human","RFU","Protein","20",959,959,0.99090721,1.01288551,1.00534647,0.992,0.99275362,0.976,1.01772259,1.01,"PASS",1.022,1.014,619.2,0.2
"seq.10366.11","10366-11",3,"SL001728","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","5156","PDGFRA","Human","RFU","Protein","20",1845.7,1845.7,1.05685983,0.98795632,1.02784429,1.022,1.0401826,1.048,1.12597609,1.047,"PASS",1.061,1.041,1492,0.2
"seq.10367.62","10367-62",3,"SL001716","Interleukin-12","IL-12","P29459|P29460","3592|3593","IL12A|IL12B","Human","RFU","Protein","20",249.1,249.1,0.93576258,0.95807692,0.94931402,0.989,0.93822976,1.029,0.94570995,1.012,"PASS",1.047,1.045,182.4,0.2
"seq.10370.21","10370-21",3,"SL004396","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","6772","STAT1","Human","RFU","Protein","20",563.8,563.8,0.86965911,0.93592297,0.92684531,1.057,0.86023802,1.14,0.87086809,1.055,"PASS",1.042,1.099,518,0.2
"seq.10372.18","10372-18",3,"SL007229","Signal transducer and activator of transcription 6","STAT6","P42226","6778","STAT6","Human","RFU","Protein","20",4073.7,4073.7,0.99720937,0.95042229,1.0363012,0.994,1.01119496,1.051,0.98565207,1.072,"PASS",1.072,1.081,3371.5,0.2
"seq.10379.19","10379-19",3,"SL017655","A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE","ATS1_MOUSE","P97857","11504","Adamts1","Mouse","RFU","Non-Human","20",1669.5,1669.5,1.09886132,1.10212569,1.11351964,0.983,1.13865775,1.03,1.22334579,1.017,"PASS",0.966,0.972,989.5,0.2
"seq.10382.1","10382-1",3,"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein","0.5",65802.6,65802.6,0.92584265,0.93732826,1.04508456,0.959,1.03232072,0.994,0.81752211,0.924,"PASS",1.016,1.056,51027.8,0.005
"seq.10390.21","10390-21",3,"SL018971","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","84133","ZNRF3","Human","RFU","Protein","20",784.8,784.8,1.10722348,1.04863709,0.97855362,1.087,1.00409417,1.046,0.9914098,0.973,"PASS",0.936,1.037,462.9,0.2
"seq.10391.1","10391-1",3,"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein","0.005",1905.8,1905.8,0.95237619,1.03677511,1.11744356,1.049,1.09133597,0.988,1.02390802,1.022,"PASS",0.975,0.965,1578.8,5e-05
"seq.10396.6","10396-6",3,"SL003755","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","4170","MCL1","Human","RFU","Protein","20",232.4,232.4,0.93034428,0.9067499,0.86813597,1.025,0.93445919,1.126,1.03611235,1.069,"PASS",1.079,1.064,189.4,0.2
"seq.10398.110","10398-110",3,"SL019275","Ankyrin repeat domain-containing protein 1","ANKR1","Q15327","27063","ANKRD1","Human","RFU","Protein","20",681.5,681.5,1.08432776,1.04620817,1.01202851,1.006,1.04316547,0.981,1.05430074,0.941,"PASS",0.951,0.908,446.1,0.2
"seq.10416.79","10416-79",3,"SL025418","Fc_MOUSE","Fc_MOUSE","Q99LC4","","","Mouse","RFU","Protein","20",1592.2,1592.2,1.10900606,1.02656351,0.9502835,0.942,1.00581175,0.947,1.01092063,0.899,"PASS",0.882,0.92,828.8,0.2
"seq.10418.36","10418-36",3,"SL011111","Syntaxin-12","STX12","Q86Y82","23673","STX12","Human","RFU","Protein","20",2198.1,2198.1,1.05267947,0.97187956,0.97958911,0.995,0.99129611,0.931,0.94999568,0.937,"PASS",0.969,0.933,1464,0.2
"seq.10419.1","10419-1",3,"SL014110","Scavenger receptor class A member 5","SCAR5","Q6ZMJ2","286133","SCARA5","Human","RFU","Protein","20",6836.1,6836.1,0.95390991,0.95145374,1.00026338,1.001,0.96458354,1.058,1.00561938,1.043,"PASS",1.096,1.031,4946.2,0.2
"seq.10420.30","10420-30",3,"SL018037","Fas apoptotic inhibitory molecule 1","FAIM1","Q9NVQ4","55179","FAIM","Human","RFU","Protein","20",879.1,879.1,1.44994227,1.31878188,1.23157747,0.942,1.26380104,0.846,1.50093905,0.858,"FLAG",0.794,0.761,522.8,0.2
"seq.10424.31","10424-31",3,"SL015264","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5","56654","NPDC1","Human","RFU","Protein","20",682.4,682.4,1.04422341,1.03003774,1.02755609,0.998,1.10011285,1.027,1.06892231,0.977,"PASS",1.001,0.99,358.9,0.2
"seq.10425.3","10425-3",3,"SL017972","Beta-1,4-galactosyltransferase 5","B4GT5","O43286","9334","B4GALT5","Human","RFU","Protein","20",1088.7,1088.7,1.03982808,1.02196564,0.87263546,0.982,0.95474875,0.859,0.77322443,0.995,"PASS",0.928,0.917,691.4,0.2
"seq.10426.21","10426-21",3,"SL018004","Golgi SNAP receptor complex member 2","GOSR2","O14653","9570","GOSR2","Human","RFU","Protein","20",208.1,208.1,1.87646528,1.38640906,1.43418332,0.908,1.32379135,0.668,1.73851295,0.88,"FLAG",0.735,0.74,103,0.2
"seq.10427.2","10427-2",3,"SL025418","Fc_MOUSE","Fc_MOUSE","Q99LC4","","","Mouse","RFU","Protein","20",1283.2,1283.2,1.11456614,1.12452896,1.12581155,0.962,1.02328549,0.971,1.02902967,1.037,"PASS",1.018,1.016,614.5,0.2
"seq.10428.1","10428-1",3,"SL018045","Killer cell immunoglobulin-like receptor 2DS2","KI2S2","P43631","100132285","KIR2DS2","Human","RFU","Protein","20",2044.6,2044.6,0.8314424,0.845435,0.87626966,1.053,0.88965277,1.195,0.93182025,1.047,"FLAG",1.204,1.106,1157.4,0.2
"seq.10430.31","10430-31",3,"SL025780","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","4F2:CD","P08195","6520","SLC3A2","Human","RFU","Protein","20",189,189,1.12033195,1.00478469,1.04825291,0.895,1.02605863,0.911,1.0837156,0.979,"PASS",0.906,0.886,126.9,0.2
"seq.10432.3","10432-3",3,"SL018002","Uncharacterized protein KIAA1644","K1644","Q3SXP7","85352","SHISAL1","Human","RFU","Protein","20",167.7,167.7,0.91389646,0.87893082,0.88683236,0.96,0.87893082,1.075,0.83060921,1.005,"PASS",0.998,1.04,113.3,0.2
"seq.10435.2","10435-2",3,"SL008645","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","ASPG","P20933","175","AGA","Human","RFU","Protein","20",835.7,835.7,0.92608599,0.96612717,0.92896843,1.008,0.95323372,1.043,1.04698071,0.988,"PASS",1.028,1.018,577.5,0.2
"seq.10438.19","10438-19",3,"SL007128","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2R","P15509","1438","CSF2RA","Human","RFU","Protein","0.5",1018,1018,0.85755202,0.89001574,0.95911061,0.983,0.82980111,0.974,0.81668672,0.964,"PASS",0.996,0.964,801.1,0.005
"seq.10439.57","10439-57",3,"SL005393","Alpha-amylase 2B","Alpha-amylase 2B","P19961","280","AMY2B","Human","RFU","Protein","20",7251.5,7251.5,1.11311516,1.10093066,1.07664098,1.041,0.97012629,1.094,1.07366005,1.024,"PASS",1.14,1.086,5809.2,0.2
"seq.10440.26","10440-26",3,"SL025782","CXADR-like membrane protein:Extracellular domain","ACAM:ECD","Q9H6B4","79827","CLMP","Human","RFU","Protein","20",1376.2,1376.2,1.04218099,0.99927389,1.05593493,1.03,0.97381828,0.973,1.03926899,1.004,"PASS",1.024,0.972,700.3,0.2
"seq.10442.1","10442-1",3,"SL018089","Transmembrane protein 190","TM190","Q8WZ59","147744","TMEM190","Human","RFU","Protein","20",383.1,383.1,0.91475645,0.85456168,0.85704698,0.975,0.78471938,1.023,0.85001109,1.006,"PASS",1.039,1.056,274.7,0.2
"seq.10445.20","10445-20",3,"SL004747","Apolipoprotein M","ApoM","O95445","55937","APOM","Human","RFU","Protein","0.005",772.6,772.6,0.86779737,0.8248105,0.94832454,1.166,0.93955977,0.931,0.79542881,1.004,"PASS",0.886,0.869,682.4,5e-05
